	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_C	param_l1_ratio	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score	Iteration
0	0.12268686294555664	0.007599866598075022	0.001919388771057129	0.0003347623077380158	1e-05	0.1	{'C': 1e-05, 'l1_ratio': 0.1}	0.8931250000000001	0.9018750000000001	0.8987499999999999	0.89	0.8668750000000001	0.89375	0.9384615384615385	0.8448717948717949	0.9307692307692308	0.9326923076923076	0.8991169871794872	0.027954992835721948	13	0.9127290034643114	0.9105833151274929	0.9119019381417559	0.9107627726974813	0.9111919103648451	0.9116834680565526	0.9072843559857456	0.9185742518790557	0.9088016059507322	0.9091439597889857	0.911265658145696	0.002885899994190899	0
1	0.064021635055542	0.006629131114231388	0.0016210079193115234	0.0001287772882457241	1e-05	0.3666666666666667	{'C': 1e-05, 'l1_ratio': 0.3666666666666667}	0.8368749999999999	0.8975000000000001	0.8825	0.8768750000000001	0.9031250000000001	0.8706250000000001	0.9307692307692307	0.8352564102564103	0.9205128205128205	0.9038461538461539	0.8857884615384615	0.030428696859014576	14	0.895196779126744	0.8922708404856278	0.8954152492119472	0.8930276832807965	0.8909834274835366	0.8932305483599138	0.8877079410528936	0.8984298408054652	0.8911470409735298	0.8919095563405486	0.8929318907121004	0.002781665317016684	0
2	0.015680527687072753	0.0011370110719028774	0.0014991998672485352	6.477885444379413e-05	1e-05	0.6333333333333333	{'C': 1e-05, 'l1_ratio': 0.6333333333333333}	0.833125	0.88625	0.860625	0.8868750000000001	0.8918750000000001	0.834375	0.891025641025641	0.8314102564102563	0.9096153846153846	0.882051282051282	0.8707227564102563	0.02717494221682913	15	0.8737086857463875	0.872858212914703	0.8750351112636934	0.8722730251864799	0.8709934146874316	0.8759558066227647	0.86799147227712	0.8739048567560418	0.8676491184388665	0.8720685952599555	0.8722438299153443	0.00260079446918006	0
3	0.0085205078125	0.0018789102420063877	0.0014435291290283204	9.465020607693024e-05	1e-05	0.9	{'C': 1e-05, 'l1_ratio': 0.9}	0.84375	0.884375	0.85	0.8925000000000001	0.88125	0.824375	0.8596153846153847	0.8282051282051281	0.9121794871794873	0.8685897435897436	0.8644839743589744	0.027095461553881765	16	0.8704628444805094	0.8667488530320526	0.8690818014419025	0.8670687556568147	0.863042664086639	0.8700024968009737	0.8620236224148393	0.8685828107250121	0.8635719954560308	0.8671355876814864	0.8667721431776261	0.0028211437639672466	0
4	0.8756119251251221	0.020142900678963606	0.00165863037109375	0.0001923597325545066	0.0021544346900318843	0.1	{'C': 0.0021544346900318843, 'l1_ratio': 0.1}	0.878125	0.9199999999999999	0.925	0.886875	0.880625	0.9087500000000001	0.9365384615384615	0.8634615384615385	0.9519230769230769	0.9307692307692307	0.908206730769231	0.027869517215586646	7	0.9260868886738866	0.9232545800692861	0.9218033145032927	0.9255563184669642	0.9263131612621328	0.924971130738741	0.9214064518136972	0.9328519630880316	0.9182085557336488	0.923662874838549	0.9244115239188229	0.003680989308628454	0
5	0.8539080381393432	0.028156843122034463	0.0015174627304077148	0.00011477838123248708	0.0021544346900318843	0.3666666666666667	{'C': 0.0021544346900318843, 'l1_ratio': 0.3666666666666667}	0.879375	0.9193749999999999	0.925625	0.8881249999999999	0.879375	0.9075000000000001	0.9365384615384615	0.8634615384615384	0.9519230769230769	0.9307692307692307	0.9082067307692308	0.027783886784067513	8	0.9258216035704254	0.9230439124871259	0.921686276957648	0.9252988358665459	0.926281951249961	0.9244639680409475	0.9211496864350073	0.9326730053998539	0.9180529403526243	0.9235461633027808	0.924201834366292	0.003677045347053997	0
6	0.8461483716964722	0.029379088518871145	0.0015585660934448243	7.943157116924227e-05	0.0021544346900318843	0.6333333333333333	{'C': 0.0021544346900318843, 'l1_ratio': 0.6333333333333333}	0.880625	0.916875	0.925	0.8881249999999999	0.880625	0.904375	0.9365384615384615	0.8628205128205128	0.9519230769230769	0.9301282051282052	0.9077035256410257	0.027474257318287724	11	0.9255173059517492	0.9228566524140944	0.9215926469211324	0.9250101432539559	0.9261883212134452	0.9241518679192284	0.9209551672087269	0.9324162400211639	0.9179128865097026	0.9232738363859884	0.9239875067799186	0.0036458170434706056	0
7	0.8349388122558594	0.0274079420774246	0.0016076087951660157	0.00011099217370315066	0.0021544346900318843	0.9	{'C': 0.0021544346900318843, 'l1_ratio': 0.9}	0.8812500000000001	0.916875	0.925625	0.88875	0.8799999999999999	0.9037499999999999	0.9371794871794871	0.8634615384615385	0.9506410256410257	0.9288461538461539	0.9076378205128206	0.02713709313164853	12	0.9252286133391592	0.9229424799475672	0.9214053868481009	0.9246746356231079	0.9258996286008551	0.9239880153553262	0.9206828402919345	0.9323773361759077	0.9175627519023981	0.9230170710072984	0.9237778759091654	0.0036948336061830003	0
8	0.883810305595398	0.024816413065711754	0.001598954200744629	7.017280928223728e-05	0.4641588833612782	0.1	{'C': 0.4641588833612782, 'l1_ratio': 0.1}	0.87875	0.9199999999999999	0.925	0.886875	0.880625	0.9087500000000001	0.9365384615384615	0.8628205128205129	0.9525641025641026	0.9307692307692307	0.9082692307692307	0.028007290754157255	1	0.9262195312256172	0.9233248025966728	0.9218267220124217	0.9256889610186947	0.9263833837895197	0.924939920726569	0.9214220133517997	0.9329219900094926	0.9182163365026998	0.9237640248362148	0.9244707686069702	0.0037021621249199122	0
9	0.8852765083312988	0.023405283187974284	0.0015978813171386719	7.182559034343406e-05	0.4641588833612782	0.3666666666666667	{'C': 0.4641588833612782, 'l1_ratio': 0.3666666666666667}	0.87875	0.9199999999999999	0.925	0.886875	0.880625	0.9087500000000001	0.9365384615384615	0.8628205128205128	0.9525641025641026	0.9307692307692308	0.9082692307692307	0.028007290754157282	1	0.9262117287225742	0.9233248025966728	0.9218345245154647	0.9256967635217378	0.9263833837895197	0.9249243157204832	0.9214142325827486	0.9329219900094926	0.9182163365026998	0.9237562440671635	0.9244684322028558	0.003702091244438722	0
