	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_learning_rate	param_max_depth	param_n_estimators	param_subsample	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score	Iteration
10	0.035532021522521974	0.0004592516360334593	0.002194857597351074	4.221873356412423e-05	1e-05	25	50	0.6	{'learning_rate': 1e-05, 'max_depth': 25, 'n_estimators': 50, 'subsample': 0.6}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.510833468576701e-17	0
11	0.03826351165771484	0.0007435849374155545	0.0021942138671875	6.013101851704002e-05	1e-05	25	50	0.9	{'learning_rate': 1e-05, 'max_depth': 25, 'n_estimators': 50, 'subsample': 0.9}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0	4.965068306494546e-17	0
12	0.014706897735595702	0.00025117414394820037	0.001956796646118164	0.00011242482418818948	4.641588833612782e-05	5	25	0.6	{'learning_rate': 4.641588833612782e-05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.6}	0.9868750000000001	0.9987499999999999	0.9937499999999999	0.99625	1.0	0.9962500000000001	1.0	1.0	1.0	0.9948717948717949	0.9966746794871796	0.003958996687383049	46	1.0	0.999695702381324	0.9991261196591867	0.9998049374239256	0.9995318498174214	0.9988062170344247	0.9999144115404367	0.9994864692426199	0.9999999999999999	0.9995798384712344	0.9995945545570573	0.00036637556183967114	0
13	0.015224456787109375	0.0006663209909570025	0.002060270309448242	0.00024241022345398804	4.641588833612782e-05	5	25	0.9	{'learning_rate': 4.641588833612782e-05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.9}	0.9912500000000001	0.9987499999999999	0.995	0.99875	1.0	0.99875	1.0	1.0	1.0	1.0	0.99825	0.0027499999999999808	43	0.9997191098904529	0.9999219749695702	0.9992977747261321	0.9999297774726132	0.9999219749695702	0.9999297774726132	0.9999144115404367	0.9999144115404367	1.0	1.0	0.9998549212581824	0.0001995570499631528	0
14	0.027941417694091798	0.0022654660569213156	0.0021793127059936525	0.00011162186764443634	4.641588833612782e-05	5	50	0.6	{'learning_rate': 4.641588833612782e-05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}	0.993125	1.0	0.99875	0.99625	1.0	0.9974999999999999	1.0	1.0	1.0	0.9987179487179487	0.9984342948717948	0.0021510452111689997	39	0.9999297774726132	0.9997659249087107	0.9997191098904529	0.9998751599513124	0.9997659249087109	0.9996488873630659	0.9998288230808733	0.9996887692379515	0.9999144115404366	0.9997977000046685	0.9997934488358796	8.94767225052503e-05	0
15	0.026963233947753906	0.0005905407203416998	0.0021434307098388674	0.0001112413568867468	4.641588833612782e-05	5	50	0.9	{'learning_rate': 4.641588833612782e-05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.9}	0.995	1.0	0.99875	0.99875	1.0	1.0	1.0	1.0	1.0	1.0	0.99925	0.0014999999999999996	35	0.9997893324178396	0.9999219749695702	0.9997893324178397	0.9999297774726132	0.9999219749695702	0.9999999999999999	1.0	0.9999144115404368	1.0	0.9999221923094879	0.9999188996097356	7.312685043770338e-05	0
16	0.020158219337463378	0.0015498073592200904	0.0021502017974853516	0.00013543141525345468	4.641588833612782e-05	15	25	0.6	{'learning_rate': 4.641588833612782e-05, 'max_depth': 15, 'n_estimators': 25, 'subsample': 0.6}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	0.9999999999999999	1.0	1.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	1.0	4.965068306494546e-17	0
17	0.022402000427246094	0.003786729684513229	0.0028439760208129883	0.0022410922331804668	4.641588833612782e-05	15	25	0.9	{'learning_rate': 4.641588833612782e-05, 'max_depth': 15, 'n_estimators': 25, 'subsample': 0.9}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.510833468576701e-17	0
18	0.038147473335266115	0.0033280549420196402	0.002283167839050293	0.00010611887755200554	4.641588833612782e-05	15	50	0.6	{'learning_rate': 4.641588833612782e-05, 'max_depth': 15, 'n_estimators': 50, 'subsample': 0.6}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	0.9999999999999999	1.0	0.9999999999999999	1.0	1.0	1.0	1.0	4.965068306494546e-17	0
19	0.03943901062011719	0.001660284786713642	0.0025519132614135742	0.0006950341373517874	4.641588833612782e-05	15	50	0.9	{'learning_rate': 4.641588833612782e-05, 'max_depth': 15, 'n_estimators': 50, 'subsample': 0.9}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.510833468576701e-17	0
