	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_C	param_penalty	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score	Iteration
0	0.006545448303222656	0.00028215192824147833	0.0013309001922607421	4.727435828098088e-05	1e-05	l1	{'C': 1e-05, 'penalty': 'l1'}	0.7431249999999999	0.83125	0.76125	0.750625	0.765	0.68875	0.791025641025641	0.7692307692307693	0.7807692307692308	0.801923076923077	0.7682948717948718	0.036195300242094774	20	0.7698027527230735	0.7591757435785401	0.7700836428326208	0.7710823632221215	0.7709341156643051	0.775834087575294	0.7659233438633074	0.7697125783912482	0.7686932976455393	0.7658221938656417	0.7687064119361692	0.00415235668666495	0
1	0.2995467185974121	0.012198199120571275	0.0014595985412597656	0.00010722317304703245	1e-05	l2	{'C': 1e-05, 'penalty': 'l2'}	0.855	0.900625	0.77375	0.899375	0.909375	0.888125	0.8884615384615385	0.9346153846153846	0.9333333333333333	0.8653846153846154	0.8848044871794872	0.04418756704226199	16	0.8985362504291377	0.8922708404856277	0.9016572516463282	0.8906167098405168	0.8884632190006555	0.8915139976904591	0.8940103639843762	0.8868987410715675	0.8922674717169046	0.894772879351395	0.8931007725216968	0.004200294619728353	0
2	0.08203823566436767	0.00988074573851364	0.0013430356979370118	9.934158356854086e-05	7.742636826811278e-05	l1	{'C': 7.742636826811278e-05, 'penalty': 'l1'}	0.799375	0.860625	0.7474999999999999	0.83875	0.84375	0.7831250000000001	0.8608974358974358	0.857051282051282	0.889102564102564	0.8512820512820513	0.8331458333333334	0.040839223054941455	19	0.8409849879841453	0.8351565182110421	0.8462672825442402	0.8365765737648638	0.8356870884179646	0.8416638057488842	0.8334137346135292	0.8359736076313783	0.8303092077620952	0.8354133922596908	0.8371446198937834	0.004356659812621966	0
3	0.31108114719390867	0.012621094806840982	0.0014319896697998046	6.924315887978326e-05	7.742636826811278e-05	l2	{'C': 7.742636826811278e-05, 'penalty': 'l2'}	0.8543750000000001	0.9	0.771875	0.9	0.910625	0.8918750000000001	0.8884615384615384	0.9371794871794872	0.9352564102564103	0.8653846153846154	0.8855032051282052	0.04531189861647219	14	0.8987157079991261	0.8926063481164758	0.9025545394962704	0.8910770575200524	0.8891420367653944	0.891865110327393	0.8945472370489098	0.8875056410575621	0.8927187563218748	0.8957999408661552	0.8936532375519214	0.004245192150352305	0
4	0.3401973724365234	0.017077119392712115	0.0014461994171142579	6.680638340885475e-05	0.0005994842503189409	l1	{'C': 0.0005994842503189409, 'penalty': 'l1'}	0.8456250000000001	0.89375	0.7749999999999999	0.8931250000000001	0.905	0.8656250000000001	0.8878205128205128	0.9275641025641026	0.9333333333333333	0.8673076923076922	0.8794150641025642	0.04327266026888555	18	0.890889797447021	0.8845775724852534	0.896109671982772	0.8832121344527325	0.8801691582659718	0.8850769326800038	0.8860195141687804	0.879608160470581	0.8820357604145593	0.8875834487480743	0.8855282151115749	0.00477089654690537	0
5	0.31118848323822024	0.013621701688479983	0.0014153003692626953	4.77267071516286e-05	0.0005994842503189409	l2	{'C': 0.0005994842503189409, 'penalty': 'l2'}	0.8543750000000001	0.9	0.771875	0.9	0.9125000000000001	0.89125	0.8884615384615385	0.9371794871794872	0.9352564102564103	0.8653846153846154	0.8856282051282051	0.04541109286228866	12	0.8989341780843295	0.8926921756499485	0.9025545394962704	0.8909210074591929	0.8891654442745233	0.8919587403639088	0.8945627985870124	0.8876223525933303	0.8925553601717994	0.8958232831733088	0.8936789879853624	0.004261789720809299	0
6	0.423636269569397	0.01832278746263719	0.0014626741409301757	9.180009785950207e-05	0.004641588833612777	l1	{'C': 0.004641588833612777, 'penalty': 'l1'}	0.854375	0.900625	0.7725	0.8981250000000001	0.909375	0.888125	0.8878205128205129	0.9346153846153846	0.9333333333333333	0.8647435897435898	0.8843637820512822	0.044526936053256166	17	0.8982085453013327	0.8910380450048375	0.9022502418775943	0.8903748322461846	0.8887285041041167	0.8919119253456508	0.8939403370629152	0.8868209333810555	0.8919173371096	0.8947184139680366	0.8929909115401322	0.00431341689734188	0
7	0.3126154899597168	0.013040832114350162	0.001439380645751953	5.127826631163054e-05	0.004641588833612777	l2	{'C': 0.004641588833612777, 'penalty': 'l2'}	0.8543750000000001	0.9	0.771875	0.9	0.9125000000000001	0.89125	0.8891025641025642	0.9403846153846154	0.9352564102564103	0.8653846153846154	0.8860128205128206	0.045787517332866616	1	0.8989341780843295	0.8926921756499485	0.9026637745388721	0.8909210074591929	0.8891654442745233	0.8919587403639088	0.8945627985870124	0.8876223525933303	0.8925553601717994	0.8959244331709746	0.8937000264893893	0.004289744597004907	0
8	0.43626530170440675	0.018652859466479415	0.0014907121658325195	7.683016053426047e-05	0.03593813663804626	l1	{'C': 0.03593813663804626, 'penalty': 'l1'}	0.8543750000000001	0.900625	0.771875	0.9	0.910625	0.890625	0.8884615384615384	0.9371794871794872	0.9352564102564103	0.8647435897435898	0.8853766025641026	0.04534519808012609	15	0.8988249430417278	0.8926375581286478	0.90271058955713	0.8910692550170095	0.8891576417714803	0.8917636777878343	0.8943682793607319	0.8873111218312818	0.8923919640217239	0.8959866793233843	0.8936221709840952	0.004336258498741383	0
9	0.31352007389068604	0.013441941527707089	0.0014863014221191406	8.83908063929385e-05	0.03593813663804626	l2	{'C': 0.03593813663804626, 'penalty': 'l2'}	0.8543750000000001	0.9	0.771875	0.9	0.9125000000000001	0.89125	0.8891025641025642	0.9397435897435897	0.9352564102564103	0.8653846153846154	0.885948717948718	0.04571173791077955	9	0.8989341780843295	0.8926921756499485	0.9026637745388721	0.8909210074591929	0.8891654442745233	0.8919587403639088	0.8946561678156268	0.8876223525933303	0.8924697717122361	0.8959244331709746	0.8937008045662942	0.004294091026080807	0
