	VIF
BPSL1201_IMPS	1.3866408575866398
BPSL1404_ClpX	1.2515163166656191
BPSL1743_Arg	1.9348596412201586
BPSL2096_AhpC	2.634401298211773
BPSL2522_OmpA	2.8589104025471688
BPSL2697_GroEL	18.97248408480501
BPSL2827_DNAK	1.4593151029294429
BPSL3222_rpIL	1.499268481702092
BPSL3396_AtpD	1.212355565432818
BPSS0135	1.7753357334029884
BPSS0476_GroS	1.9729848897065896
BPSS0477_GroEL2	16.250050152131568
BPSS0530	2.7917714561951548
BPSS1498_HCP1.B	2.9753411845432476
BPSS1652	2.659298278674785
BPSS1769_NADH	1.6759829904220218
BPSS1850	2.170572162111765
CPS	2.4731590733686506
LPSA	2.8509294951101727
LPSB	1.851950507422961
