	VIF
BPSL1201_IMPS	1.306179011105107
BPSL1404_ClpX	1.2137758127026543
BPSL1743_Arg	1.4578497217830286
BPSL2096_AhpC	2.648503227791768
BPSL2522_OmpA	1.5703963377184122
BPSL2697_GroEL	12.561312607983435
BPSL2827_DNAK	1.2290860109561998
BPSL3222_rpIL	1.5054740431759464
BPSL3396_AtpD	1.2152633410424956
BPSS0135	1.6688238486003892
BPSS0476_GroS	1.5650653413138098
BPSS0477_GroEL2	11.638307896192572
BPSS0530	1.609342904225075
BPSS1498_HCP1.B	2.849526591842226
BPSS1652	2.5860134851139374
BPSS1769_NADH	1.5550465110318143
BPSS1850	2.205775741259352
CPS	1.542875344622044
LPSA	2.429205544066385
LPSB	1.3916995090165083
