	VIF
BPSL1201_IMPS	1.3786610218982984
BPSL1404_ClpX	1.174001051610453
BPSL1743_Arg	1.5843501661678525
BPSL2096_AhpC	2.2608917374652213
BPSL2522_OmpA	1.8130760519023525
BPSL2697_GroEL	7.478306444772376
BPSL2827_DNAK	1.2650874517757407
BPSL3222_rpIL	1.4449325231524937
BPSL3396_AtpD	1.2813230791359616
BPSS0135	1.6082251894692343
BPSS0476_GroS	1.7459364053083877
BPSS0477_GroEL2	7.7622092002868115
BPSS0530	1.4933646185269847
BPSS1498_HCP1.B	3.6211927466477287
BPSS1652	2.70594478634605
BPSS1769_NADH	1.5860948703019497
BPSS1850	2.1554932944977163
CPS	2.0511931673708363
LPSA	2.3444445200041395
LPSB	1.7351461891243243
