	VIF
BPSL1201_IMPS	3.6894229014183493
BPSL1404_ClpX	1.9797091617710205
BPSL1743_Arg	2.636883964383786
BPSL2096_AhpC	2.5276969370001483
BPSL2522_OmpA	5.0616902868068605
BPSL2697_GroEL	17.807302506986996
BPSL2827_DNAK	1.8835614406113723
BPSL3222_rpIL	2.2726357194190605
BPSL3396_AtpD	2.753434494489889
BPSS0135	2.988700310007592
BPSS0476_GroS	3.4154522494380806
BPSS0477_GroEL2	19.558828534012072
BPSS0530	6.493704956898808
BPSS1498_HCP1.B	1.817147993062535
BPSS1652	8.064281513022614
BPSS1769_NADH	4.979689101178606
BPSS1850	4.727761401696932
CPS	2.0330425636693894
LPSA	1.9438808143467916
LPSB	2.419149934124343
