	VIF
BPSL1201_IMPS	2.233353475849777
BPSL1404_ClpX	2.4247779078028016
BPSL1743_Arg	2.014143305855683
BPSL2096_AhpC	3.897017571618218
BPSL2522_OmpA	1.9590493100406172
BPSL2697_GroEL	15.73066091569715
BPSL2827_DNAK	1.1433953209922914
BPSL3222_rpIL	3.2462402296667876
BPSL3396_AtpD	2.0260403546601973
BPSS0135	4.112899743721143
BPSS0476_GroS	2.4154134392631414
BPSS0477_GroEL2	32.32765032375116
BPSS0530	4.264721928502442
BPSS1498_HCP1.B	4.079835925199105
BPSS1652	14.484793223540679
BPSS1769_NADH	4.604123268411918
BPSS1850	3.445371855292194
CPS	1.6429004310332136
LPSA	3.5991817766880447
LPSB	1.976815666234846
